"sites","bbIDM17","bbIDM18","bbSPE17","bbSPE18","bbGRO17","bbGRO18","sbIDM17","sbIDM18","sbSPE17","sbSPE18","sbGRO17","sbGRO18","hvIDM17","hvIDM18","hvSPE17","hvSPE18","hvGRO17","hvGRO18","region"
"NC0429",2.01863910591445,2.00079209701118,1.8764015708324,1.9073389605206,1.70948188460247,1.70948188460247,3.48378964488815,3.47577440687678,3.55310366154769,3.53283265648,2.14862724708769,2.14862724708769,3.31233899478769,3.31012570060676,2.65922417160449,2.70619722540395,1.61643485032951,1.61643485032951,"SCO"
"NC2313",2.02919460635179,2.01309902280348,1.85562427391373,1.88443335456388,1.70450942470297,1.70450942470297,3.51014591455437,3.5006471726491,3.61381592657879,3.58727280743339,2.1593005234471,2.1593005234471,3.28365771623026,3.28247227663271,2.57112439615612,2.6177882127138,1.61534585048717,1.61534585048717,"SCO"
"NC5762",2.11747351987909,2.09184677431755,2.0682813228372,2.10158290391951,1.6324644049449,1.6324644049449,3.48329059817788,3.4752941480696,3.54669509487268,3.52678009416229,2.14862192608859,2.14862192608859,3.31002981767498,3.3087692247017,2.5675462172749,2.61227823881677,1.61108922047065,1.61108922047065,"SCO"
"NC7158",2.02546878725931,2.00910959024942,1.85460994395326,1.88210995472092,1.70984524099267,1.70984524099267,3.48883487024728,3.48183201477713,3.53539120239318,3.51864971135494,2.12704289216246,2.12704289216246,3.30200832772004,3.30313408108087,2.86036720347705,2.92127887540691,1.64080091708519,1.64080091708519,"SCO"
"NJ0327",2.10797670298536,2.08370896078954,2.10593838433096,2.1392031321654,1.69097382621983,1.69097382621983,3.47429945190941,3.46794905375722,3.55969830084266,3.53648086231073,2.10224369548116,2.10224369548116,3.27969873537097,3.28653108552683,2.75989346363034,2.81419453977339,1.61303523746677,1.61303523746677,"SCO"
"NJ6415",2.1972237848415,2.15760648833806,2.30691366198786,2.32610294996835,1.6235074228103,1.6235074228103,3.61507772603739,3.60541711167294,3.64764027350279,3.61907732214975,2.10561009071917,2.10561009071917,3.32879550183564,3.33084583489962,2.65928361005659,2.70836901587469,1.62370656395501,1.62370656395501,"SCO"
"NJ7638",2.03794171673822,1.99584003713506,2.08024609502802,2.12036712249639,1.59623857603835,1.59623857603835,3.60532331943041,3.59668927073629,3.60521270688064,3.5891855679268,2.10541885003258,2.10541885003258,3.29656098347497,3.29439815110638,2.71292565286271,2.75111261867482,1.62560664497376,1.62560664497376,"SCO"
"NN5527",2.16934618480522,2.1369884463086,2.22394116248264,2.25029863962383,1.62623906818792,1.62623906818792,3.52707382826382,3.51785754791694,3.63709938892157,3.60707165782649,2.15026987726922,2.15026987726922,3.34594242384264,3.34571251407219,2.60801917988881,2.65592462094061,1.62303479310998,1.62303479310998,"SCO"
"NN6693",2.09087084591687,2.06412623095403,2.09402660880504,2.12595678624799,1.65426856378754,1.65426856378754,3.55449245178236,3.54309065364741,3.70660432770029,3.67055909990645,2.12796715586497,2.12796715586497,3.32605645032885,3.34633983729702,2.56411608077663,2.60963143306801,1.60414463992253,1.60414463992253,"SCO"
"NN7911",2.0327118688782,2.01164492261556,1.99265234124328,2.02313307271249,1.69179761395728,1.69179761395728,3.48867552395205,3.48075728161157,3.57275650120683,3.54926770323644,2.1332082955171,2.1332082955171,3.31944061466711,3.31935211997096,2.66459511518388,2.71153323026871,1.63578643399055,1.63578643399055,"SCO"
"NN8369",2.10945507937031,2.07524533321603,2.15591564137329,2.18870090812243,1.66545397206028,1.66545397206028,3.51462487808028,3.50583643919795,3.5659071182798,3.54280431175398,2.12598669369388,2.12598669369388,3.31296360591618,3.31301120830689,2.63656839706158,2.68400964429174,1.61989025548869,1.61989025548869,"SCO"
"NN8664",2.1721027897819,2.14371314383344,2.24695864097116,2.27540550887019,1.67180081592793,1.67180081592793,3.5369934098786,3.52854777428737,3.59697159928172,3.57234319196529,2.13088039633388,2.13088039633388,3.34043193198649,3.33927888370252,2.58123081881654,2.62630114474348,1.63989181307186,1.63989181307186,"SCO"
"NO7495",1.94173319748021,1.9146350536897,1.91530419806067,1.95228908985663,1.68382113505246,1.68382113505246,3.53750739624803,3.52897956711055,3.56689258421918,3.55122397430656,2.09954308801172,2.09954308801172,3.29463814151415,3.29829259547068,2.94270261583349,2.99891214295955,1.62492080311276,1.62492080311276,"SCO"
"NS2366",1.99533016530338,1.9740290788852,1.92927295335651,1.96186218021895,1.68723272075151,1.68723272075151,3.54172644476888,3.53187154145472,3.61853686303448,3.5941787735252,2.13403185541751,2.13403185541751,3.34843051406363,3.35086227187549,2.63287411658544,2.68024728690838,1.62537219615981,1.62537219615981,"SCO"
"NS4085",2.01362742336903,1.9953961588514,1.85647081727115,1.88520820512166,1.71480264706274,1.71480264706274,3.55607095581046,3.54581713754705,3.64123091946507,3.61065711750801,2.1455588859342,2.1455588859342,3.32740334238501,3.32595618804446,2.62637012440374,2.67061323529506,1.63143174232469,1.63143174232469,"SCO"
"NS5873",2.01338602158905,1.99670031473789,1.82799713778612,1.85900479137751,1.71646394589037,1.71646394589037,3.5354498708176,3.52570860406205,3.64797171674724,3.61659179247833,2.12595490088143,2.12595490088143,3.30971828829687,3.31544351117853,2.80663530137765,2.85123400216064,1.61240259854225,1.61240259854225,"SCO"
"NS9052",2.06661384529869,2.04253583753069,2.11638135808254,2.15349346896659,1.69844101983434,1.69844101983434,3.54405972376965,3.53533632284603,3.58411078772897,3.57070257093044,2.13444236181308,2.13444236181308,3.30627616427879,3.30440958015929,2.489877882838,2.53263247530178,1.62770003742414,1.62770003742415,"SCO"
"NT2023",2.10495272724184,2.07862061886751,2.1622141018947,2.18893735540881,1.66363055764013,1.66363055764013,3.53266535842234,3.52352839603878,3.58493128100974,3.56237457278491,2.13881502758979,2.13881502758979,3.35211178017899,3.3508096619496,2.53229547483831,2.57766925450849,1.62205639642758,1.62205639642758,"SCO"
"NT4470",1.94525271967149,1.92404225856439,1.91778207338642,1.95359852232894,1.70007139413918,1.70007139413918,3.51947428601827,3.51090051213354,3.58171207628671,3.56021663009578,2.13489661388735,2.13489661388735,3.31307936879878,3.31430982657966,2.60234880815042,2.64620500109587,1.6061991452811,1.6061991452811,"SCO"
"NT5824",2.03209188010975,2.01083672814403,1.99360186849108,2.02072564661072,1.70991120213421,1.70991120213421,3.55174613063708,3.54308543548621,3.57146373077916,3.553983599595,2.13443113957153,2.13443113957153,3.31170373161039,3.30911119629254,2.74585260819889,2.79033764276491,1.63381576017898,1.63381576017898,"SCO"
"NX8392",2.00977606301644,1.99092086925602,1.92065600285297,1.94904994233732,1.70538985505654,1.70538985505654,3.48276943754069,3.47548849598538,3.53690146525818,3.52118495213165,2.14527784959705,2.14527784959705,3.32267971289082,3.32226075589504,2.66374667951804,2.70984847533279,1.62533599727101,1.62533599727101,"SCO"
"SE1582",2.06904200474859,2.03664927083094,2.10765553701718,2.14218182780064,1.63968490597058,1.63968490597058,3.51387380106843,3.50678089870269,3.5812332444072,3.55590406162483,2.12942485841951,2.12942485841951,3.33041094056623,3.34222092273267,2.95595649780926,3.05019106980997,1.61198338447744,1.61198338447744,"ENG"
"SE1845",2.01598756532883,1.9579720242872,1.94769667633857,1.98171152559018,1.51811527542502,1.51811527542502,3.49826649413864,3.49136628326247,3.52916580944134,3.5113314811136,2.13741649680109,2.13741649680109,3.28322514341799,3.29132284575634,2.99666425084383,3.05431077770316,1.59588971089146,1.59588971089146,"ENG"
