"coords","insects","model","variable","mean","sites","sd"
"NC0429","Bumblebees","IDMSH","V1",2.06737559647678,"NC0429",0.275487958346834
"NC0429","Bumblebees","SOM","V1",0.863939710051227,"NC0429",0.555650398721907
"NC0429","Bumblebees","IDMCO","V1",1.71719581379784,"NC0429",0.458992222659181
"NC0429","Bumblebees","IGSH","V1",1.87094250371169,"NC0429",0.377152400633914
"NC0429","Bumblebees","IGCO","V1",2.02585977588343,"NC0429",0.334601038958818
"NC0429","Hoverflies","IDMSH","V1",1.60589226738981,"NC0429",0.690413621361032
"NC0429","Hoverflies","SOM","V1",1.00153729179023,"NC0429",0.615207987889649
"NC0429","Hoverflies","IDMCO","V1",1.61465980336805,"NC0429",0.624173606143772
"NC0429","Hoverflies","IGSH","V1",1.11379190927394,"NC0429",0.474835217750754
"NC0429","Hoverflies","IGCO","V1",0.32968615713669,"NC0429",0.367666740913266
"NC0429","Solitary bees","IDMSH","V1",1.5528151051584,"NC0429",0.589691449690121
"NC0429","Solitary bees","SOM","V1",1.8599383505957,"NC0429",0.762540563477821
"NC0429","Solitary bees","IDMCO","V1",1.79223795569602,"NC0429",0.654734945967271
"NC0429","Solitary bees","IGSH","V1",0.347268538678046,"NC0429",0.393785869163979
"NC0429","Solitary bees","IGCO","V1",2.47887665281225,"NC0429",0.598817022764816
"NC2313","Bumblebees","IDMSH","V2",2.07446134420411,"NC2313",0.284859841947175
"NC2313","Bumblebees","SOM","V2",0.887095599053235,"NC2313",0.548511562470285
"NC2313","Bumblebees","IDMCO","V2",1.72163657205784,"NC2313",0.466374843117008
"NC2313","Bumblebees","IGSH","V2",1.91092706334948,"NC2313",0.36637161158624
"NC2313","Bumblebees","IGCO","V2",2.07126039530425,"NC2313",0.317722638903393
"NC2313","Hoverflies","IDMSH","V2",1.25773189402088,"NC2313",0.857161069332907
"NC2313","Hoverflies","SOM","V2",0.924187196248695,"NC2313",0.595259766969322
"NC2313","Hoverflies","IDMCO","V2",1.65657475097429,"NC2313",0.614683502409977
"NC2313","Hoverflies","IGSH","V2",1.17503266243827,"NC2313",0.476235879006815
"NC2313","Hoverflies","IGCO","V2",0.634425233427441,"NC2313",0.51612305701944
"NC2313","Solitary bees","IDMSH","V2",1.53584239012882,"NC2313",0.621175126776813
"NC2313","Solitary bees","SOM","V2",1.95333850950955,"NC2313",0.7433968159333
"NC2313","Solitary bees","IDMCO","V2",1.79477419834869,"NC2313",0.688989713279458
"NC2313","Solitary bees","IGSH","V2",0.373606164251096,"NC2313",0.433719014746677
"NC2313","Solitary bees","IGCO","V2",2.46847969191819,"NC2313",0.625955596221868
"NC5762","Bumblebees","IDMSH","V3",2.00666723263075,"NC5762",0.314106017501304
"NC5762","Bumblebees","SOM","V3",0.886744403704708,"NC5762",0.540124786795491
"NC5762","Bumblebees","IDMCO","V3",1.67347092103906,"NC5762",0.481800180398868
"NC5762","Bumblebees","IGSH","V3",1.71616159345382,"NC5762",0.42809142379177
