"V1","model","insects"
3359.12219731756,"IDMSH","Bumblebees"
2606.10463942518,"SOM","Bumblebees"
3365.2492548131,"IDMCO","Bumblebees"
770.088823648567,"IGSH","Bumblebees"
770.276912503243,"IGCO","Bumblebees"
10341.7945814727,"IDMSH","Hoverflies"
8840.91142025749,"SOM","Hoverflies"
10104.5630604602,"IDMCO","Hoverflies"
1062.03572756453,"IGSH","Hoverflies"
1085.98448447174,"IGCO","Hoverflies"
4625.68014173019,"IDMSH","Solitary bees"
3974.96949633231,"SOM","Solitary bees"
4385.72008764572,"IDMCO","Solitary bees"
445.509903177672,"IGSH","Solitary bees"
432.606137945008,"IGCO","Solitary bees"
