"EASTING","NORTHING","method","insects","model","sites","mean","sd"
204000,929000,"IDM","Bumblebees","shared","NC0429",2.23601299987821,0.194627796098683
204000,929000,"IDM","Bumblebees","covariate","NC0429",1.63382821496895,0.596762671728156
204000,929000,"Group only","Bumblebees","shared","NC0429",1.13877599335881,0.741424181221118
204000,929000,"Group only","Bumblebees","covariate","NC0429",2.47214473784119,0.246609722530031
204000,929000,"Species Only","Bumblebees","shared","NC0429",0.624936661216398,0.500777561068527
204000,929000,"Species Only","Bumblebees","covariate","NC0429",0.64603810216883,0.511861402289329
204000,929000,"IDM","Hoverflies","shared","NC0429",3.56861186974753,0.148862612646917
204000,929000,"IDM","Hoverflies","covariate","NC0429",3.60128259224722,0.234907245290087
204000,929000,"Group only","Hoverflies","shared","NC0429",0.933204450204427,0.988967282235801
204000,929000,"Group only","Hoverflies","covariate","NC0429",4.16801007137697,0.178128334163702
204000,929000,"Species Only","Hoverflies","shared","NC0429",3.44455285406135,0.347284865873448
204000,929000,"Species Only","Hoverflies","covariate","NC0429",3.4348484226595,0.351691581335839
204000,929000,"IDM","Solitary bees","shared","NC0429",3.02738183036141,0.319730139029928
204000,929000,"IDM","Solitary bees","covariate","NC0429",2.78509558786212,0.508585299693837
204000,929000,"Group only","Solitary bees","shared","NC0429",1.50786902014584,1.08716066536265
204000,929000,"Group only","Solitary bees","covariate","NC0429",3.82383123116202,0.375396531791113
204000,929000,"Species Only","Solitary bees","shared","NC0429",2.45247729173885,0.645668570556876
204000,929000,"Species Only","Solitary bees","covariate","NC0429",2.44786724739723,0.664938873420641
223000,913000,"IDM","Bumblebees","shared","NC2313",2.24900846243583,0.194538583629605
223000,913000,"IDM","Bumblebees","covariate","NC2313",1.637041384433,0.602902143211566
223000,913000,"Group only","Bumblebees","shared","NC2313",1.15968134964012,0.750732218576209
223000,913000,"Group only","Bumblebees","covariate","NC2313",2.488116951699,0.240504814967322
223000,913000,"Species Only","Bumblebees","shared","NC2313",0.634215113838423,0.504848793605116
223000,913000,"Species Only","Bumblebees","covariate","NC2313",0.650114001059213,0.512060790629108
223000,913000,"IDM","Hoverflies","shared","NC2313",3.56382904428901,0.151762214363906
223000,913000,"IDM","Hoverflies","covariate","NC2313",3.64881492272618,0.224948093227582
223000,913000,"Group only","Hoverflies","shared","NC2313",0.929586577392361,0.983032306939486
223000,913000,"Group only","Hoverflies","covariate","NC2313",4.18801665193774,0.169916812931252
223000,913000,"Species Only","Hoverflies","shared","NC2313",3.48587087604474,0.335913219983839
223000,913000,"Species Only","Hoverflies","covariate","NC2313",3.46080953827226,0.341048910141066
223000,913000,"IDM","Solitary bees","shared","NC2313",3.05878292071762,0.309560645801989
223000,913000,"IDM","Solitary bees","covariate","NC2313",2.83649586583723,0.49085166663299
223000,913000,"Group only","Solitary bees","shared","NC2313",1.50313470882512,1.08709288514621
223000,913000,"Group only","Solitary bees","covariate","NC2313",3.84429441520251,0.358832884444123
223000,913000,"Species Only","Solitary bees","shared","NC2313",2.47516076192155,0.640992969194245
223000,913000,"Species Only","Solitary bees","covariate","NC2313",2.49774028882145,0.653445557823313
257000,962000,"IDM","Bumblebees","shared","NC5762",2.17578764294833,0.23256435215553
257000,962000,"IDM","Bumblebees","covariate","NC5762",1.62288473942479,0.594673678450832
257000,962000,"Group only","Bumblebees","shared","NC5762",1.09306476949946,0.735307772360987
257000,962000,"Group only","Bumblebees","covariate","NC5762",2.3973104940424,0.315442636598411
257000,962000,"Species Only","Bumblebees","shared","NC5762",0.600501974375238,0.499905526791393
257000,962000,"Species Only","Bumblebees","covariate","NC5762",0.615228372400244,0.50333219426007
257000,962000,"IDM","Hoverflies","shared","NC5762",3.49605548926491,0.179432440693997
257000,962000,"IDM","Hoverflies","covariate","NC5762",3.57044233081218,0.250294253497556
257000,962000,"Group only","Hoverflies","shared","NC5762",0.919538211892014,0.988214559492097
257000,962000,"Group only","Hoverflies","covariate","NC5762",4.15908985562048,0.20081104812331
