"method","insects","model","variable","value","sd"
"IDM","Bumblebees","shared","muAlphaSites",-0.510493212950807,8.68721260174825
"IDM","Bumblebees","covariate","muAlphaSites",-0.555904069607165,7.76658533160363
"Group only","Bumblebees","shared","muAlphaSites",-0.0733248980599391,9.90380555873771
"Group only","Bumblebees","covariate","muAlphaSites",-0.0343724405757995,10.0387949068826
"Species Only","Bumblebees","shared","muAlphaSites",1.49043994727824,4.41234680397182
"Species Only","Bumblebees","covariate","muAlphaSites",3.42135835580842,4.10256665376623
"IDM","Hoverflies","shared","muAlphaSites",-2.31843512364473,5.5455186452411
"IDM","Hoverflies","covariate","muAlphaSites",-1.99975876067783,4.13630981622492
"Group only","Hoverflies","shared","muAlphaSites",-0.0766391270633547,9.92969636306007
"Group only","Hoverflies","covariate","muAlphaSites",0.0494642620035834,9.94950082929885
"Species Only","Hoverflies","shared","muAlphaSites",-5.6989821982554,4.91950708181787
"Species Only","Hoverflies","covariate","muAlphaSites",-1.76403140974438,4.50357681629155
"IDM","Solitary bees","shared","muAlphaSites",-6.05689685004731,3.14285081215346
"IDM","Solitary bees","covariate","muAlphaSites",-3.72710399039755,3.346404595752
"Group only","Solitary bees","shared","muAlphaSites",-0.095997095836094,9.85599532333957
"Group only","Solitary bees","covariate","muAlphaSites",0.0393110564102649,9.96821002404591
"Species Only","Solitary bees","shared","muAlphaSites",-2.04719553309744,11.410630731809
"Species Only","Solitary bees","covariate","muAlphaSites",-1.75939143224876,4.21731508273416
"IDM","Bumblebees","shared","muAlphaSpecies",-2.54218528737354,8.68738239032156
"IDM","Bumblebees","covariate","muAlphaSpecies",-3.3909360554247,7.77275816572704
"Group only","Bumblebees","shared","muAlphaSpecies",-0.0570681237857291,10.0895972950028
"Group only","Bumblebees","covariate","muAlphaSpecies",-0.0626290819687456,10.0702144321919
"Species Only","Bumblebees","shared","muAlphaSpecies",-5.54972835879171,4.41888234081409
"Species Only","Bumblebees","covariate","muAlphaSpecies",-7.45425494131527,4.11700504903718
"IDM","Hoverflies","shared","muAlphaSpecies",-1.09188174094679,5.55187886995968
"IDM","Hoverflies","covariate","muAlphaSpecies",-2.26017615351963,4.13661803847144
"Group only","Hoverflies","shared","muAlphaSpecies",0.0741597344379015,9.91558427822304
"Group only","Hoverflies","covariate","muAlphaSpecies",-0.0245645126803209,9.95116088887914
"Species Only","Hoverflies","shared","muAlphaSpecies",1.44861845742518,4.92382178967681
"Species Only","Hoverflies","covariate","muAlphaSpecies",-2.5150181924368,4.51090202206036
"IDM","Solitary bees","shared","muAlphaSpecies",2.20183519379467,3.13635236439452
