"Parameter","Rhat","nRows"
"Cov[1, 1]",1.00408498405941,372
"Cov[1, 2]",1.00408152571855,372
"Cov[1, 3]",1.08083600929686,372
"Cov[1, 4]",1.00048016877972,372
"Cov[1, 5]",1.01222731038213,372
"Cov[1, 6]",1.03479878111246,372
"Cov[1, 7]",1.02051808349042,372
"Cov[1, 8]",1.01876035280124,372
"Cov[1, 9]",1.00064320762668,372
"Cov[1, 10]",1.00481561069613,372
"Cov[1, 11]",1.00706050514045,372
"Cov[1, 12]",1.00155079957222,372
"Cov[1, 13]",1.02513454033322,372
"Cov[1, 14]",1.0101771680505,372
"Cov[1, 15]",1.00092436339459,372
"Cov[1, 16]",1.01372081526541,372
"Cov[1, 17]",1.00462875676659,372
"Cov[2, 1]",1.00408152571855,372
"Cov[2, 2]",1.10131661131498,372
"Cov[2, 3]",1.02686862115035,372
"Cov[2, 4]",1.16249313189667,372
"Cov[2, 5]",1.26255448633711,372
"Cov[2, 6]",1.00933488151804,372
"Cov[2, 7]",1.18153578085556,372
"Cov[2, 8]",1.19750384712201,372
"Cov[2, 9]",1.02655338231246,372
"Cov[2, 10]",1.04511236186108,372
"Cov[2, 11]",1.13233750022278,372
"Cov[2, 12]",1.14506485865909,372
"Cov[2, 13]",1.01002388429276,372
"Cov[2, 14]",1.00750476458988,372
"Cov[2, 15]",1.22341981390994,372
"Cov[2, 16]",1.01035075459004,372
"Cov[2, 17]",1.028430931162,372
"Cov[3, 1]",1.08083600929686,372
"Cov[3, 2]",1.02686862115035,372
"Cov[3, 3]",1.00556828947135,372
"Cov[3, 4]",1.00134449763588,372
"Cov[3, 5]",1.00509226683844,372
"Cov[3, 6]",1.0113188824299,372
"Cov[3, 7]",1.00782533561796,372
"Cov[3, 8]",1.01016567903938,372
"Cov[3, 9]",1.01717970876828,372
"Cov[3, 10]",1.0155587641122,372
"Cov[3, 11]",1.02666842642363,372
"Cov[3, 12]",1.00853822850267,372
"Cov[3, 13]",0.999965857535115,372
"Cov[3, 14]",1.00080165997473,372
"Cov[3, 15]",1.00084192278888,372
"Cov[3, 16]",1.02761854169017,372
"Cov[3, 17]",1.00008567887657,372
"Cov[4, 1]",1.00048016877972,372
"Cov[4, 2]",1.16249313189667,372
"Cov[4, 3]",1.00134449763588,372
"Cov[4, 4]",1.07205751656711,372
"Cov[4, 5]",1.15895042004724,372
"Cov[4, 6]",1.00892839851623,372
"Cov[4, 7]",1.1836576402399,372
"Cov[4, 8]",1.07764473296631,372
"Cov[4, 9]",1.00925961473438,372
"Cov[4, 10]",1.034737901691,372
"Cov[4, 11]",1.06292102109293,372
"Cov[4, 12]",1.04782898767394,372
"Cov[4, 13]",1.01168625962804,372
"Cov[4, 14]",1.03428846735118,372
"Cov[4, 15]",1.11834437781473,372
"Cov[4, 16]",1.01510184172604,372
"Cov[4, 17]",1.05487492338277,372
"Cov[5, 1]",1.01222731038213,372
"Cov[5, 2]",1.26255448633711,372
"Cov[5, 3]",1.00509226683844,372
"Cov[5, 4]",1.15895042004724,372
"Cov[5, 5]",1.17388961681693,372
"Cov[5, 6]",1.00658773792922,372
"Cov[5, 7]",1.22429848344328,372
"Cov[5, 8]",1.10786113463899,372
"Cov[5, 9]",1.01263061373952,372
"Cov[5, 10]",1.07727108930427,372
"Cov[5, 11]",1.06716394526521,372
"Cov[5, 12]",1.08449186792169,372
"Cov[5, 13]",1.01096231830197,372
"Cov[5, 14]",1.01183314387888,372
"Cov[5, 15]",1.22000056558982,372
"Cov[5, 16]",1.01783552659121,372
"Cov[5, 17]",1.02645447677639,372
"Cov[6, 1]",1.03479878111246,372
"Cov[6, 2]",1.00933488151804,372
"Cov[6, 3]",1.0113188824299,372
"Cov[6, 4]",1.00892839851623,372
"Cov[6, 5]",1.00658773792922,372
"Cov[6, 6]",1.02882825475357,372
"Cov[6, 7]",1.00125517974563,372
"Cov[6, 8]",1.00213070909872,372
"Cov[6, 9]",1.02801458005879,372
"Cov[6, 10]",1.00771327137671,372
"Cov[6, 11]",1.00481952707623,372
"Cov[6, 12]",1.00915871330851,372
"Cov[6, 13]",1.01199270037541,372
"Cov[6, 14]",1.01574207174626,372
"Cov[6, 15]",1.01350140457959,372
"Cov[6, 16]",1.07641587916506,372
"Cov[6, 17]",1.05946966969555,372
"Cov[7, 1]",1.02051808349042,372
"Cov[7, 2]",1.18153578085556,372
"Cov[7, 3]",1.00782533561796,372
"Cov[7, 4]",1.1836576402399,372
"Cov[7, 5]",1.22429848344328,372
"Cov[7, 6]",1.00125517974563,372
"Cov[7, 7]",1.12840766010351,372
"Cov[7, 8]",1.10308453315097,372
"Cov[7, 9]",1.0285511364836,372
"Cov[7, 10]",1.01770965156034,372
"Cov[7, 11]",1.07777331091216,372
"Cov[7, 12]",1.08651532506066,372
"Cov[7, 13]",1.00474757328198,372
"Cov[7, 14]",1.00831396423605,372
"Cov[7, 15]",1.2312163386636,372
"Cov[7, 16]",1.00909173244099,372
"Cov[7, 17]",1.04845767332813,372
"Cov[8, 1]",1.01876035280124,372
"Cov[8, 2]",1.19750384712201,372
"Cov[8, 3]",1.01016567903938,372
"Cov[8, 4]",1.07764473296631,372
"Cov[8, 5]",1.10786113463899,372
"Cov[8, 6]",1.00213070909872,372
"Cov[8, 7]",1.10308453315097,372
"Cov[8, 8]",1.07921224990429,372
"Cov[8, 9]",1.03692354854557,372
"Cov[8, 10]",1.01676952767125,372
"Cov[8, 11]",1.03788603177883,372
"Cov[8, 12]",1.06954789153263,372
"Cov[8, 13]",1.01722787365914,372
"Cov[8, 14]",1.01936510470434,372
"Cov[8, 15]",1.1691061592251,372
"Cov[8, 16]",1.01351212126204,372
"Cov[8, 17]",1.04032676483829,372
"Cov[9, 1]",1.00064320762668,372
"Cov[9, 2]",1.02655338231246,372
"Cov[9, 3]",1.01717970876828,372
"Cov[9, 4]",1.00925961473438,372
"Cov[9, 5]",1.01263061373952,372
"Cov[9, 6]",1.02801458005879,372
"Cov[9, 7]",1.0285511364836,372
"Cov[9, 8]",1.03692354854557,372
"Cov[9, 9]",1.04051571514713,372
"Cov[9, 10]",1.00471029775286,372
"Cov[9, 11]",1.00320839877574,372
"Cov[9, 12]",1.06325574669254,372
"Cov[9, 13]",1.03606860173516,372
"Cov[9, 14]",1.0170031948455,372
"Cov[9, 15]",1.01689815130171,372
"Cov[9, 16]",1.05027351004082,372
"Cov[9, 17]",1.03256984291272,372
"Cov[10, 1]",1.00481561069613,372
"Cov[10, 2]",1.04511236186108,372
"Cov[10, 3]",1.0155587641122,372
"Cov[10, 4]",1.034737901691,372
"Cov[10, 5]",1.07727108930427,372
"Cov[10, 6]",1.00771327137671,372
"Cov[10, 7]",1.01770965156034,372
"Cov[10, 8]",1.01676952767125,372
"Cov[10, 9]",1.00471029775286,372
"Cov[10, 10]",1.04170863434653,372
"Cov[10, 11]",1.02051740002968,372
"Cov[10, 12]",1.02826163866883,372
"Cov[10, 13]",1.00641392962587,372
"Cov[10, 14]",1.02286025416387,372
"Cov[10, 15]",1.0868929028919,372
"Cov[10, 16]",1.00092645408326,372
"Cov[10, 17]",1.01670298990775,372
"Cov[11, 1]",1.00706050514045,372
"Cov[11, 2]",1.13233750022278,372
"Cov[11, 3]",1.02666842642363,372
"Cov[11, 4]",1.06292102109293,372
"Cov[11, 5]",1.06716394526521,372
"Cov[11, 6]",1.00481952707623,372
"Cov[11, 7]",1.07777331091216,372
"Cov[11, 8]",1.03788603177883,372
"Cov[11, 9]",1.00320839877574,372
"Cov[11, 10]",1.02051740002968,372
