"sites","bb_IDM","bb_SPE","bb_GRO","hv_IDM","hv_SPE","hv_GRO","sb_IDM","sb_SPE","sb_GRO","region"
"NC0429",1.78869788254124,1.81398338592569,2.40282846271339,3.40445176126141,3.37844458833761,4.263187610992,3.12900721623135,3.23536510709812,0.469375665783898,"SCO"
"NC2313",1.82590796313058,1.84173668842939,2.41346249790188,3.41673006587583,3.40978276013638,4.26621636014645,3.13652197170548,3.20738764936331,0.5058584323421,"SCO"
"NC5762",1.91653682166043,1.90810671665335,2.28986007386324,3.35142048366463,3.37998248541855,4.27031421485756,3.17639207846476,3.12930150361304,0.483697768462641,"SCO"
"NC7158",1.83812289733361,1.83728725878083,2.38390878404347,3.348619050441,3.37342431619655,4.26568135233666,3.17245215483833,3.0749834714349,0.474814448658831,"SCO"
"NJ0327",1.76836669331645,1.75667555492789,2.40255183155347,3.01111212941226,2.99499230154328,4.26674761036029,3.18550284753604,3.14433707052913,0.405822950498176,"SCO"
"NJ6415",1.71774159014213,1.7451808045755,2.3115058242784,3.16658309700157,3.12885941474971,4.2623441823895,3.27518769334133,3.29278470094469,0.4814901694085,"SCO"
"NJ7638",1.73017831926192,1.70091590235992,2.29592460579873,3.25795734722745,3.26225397669556,4.26570602412745,3.27696258423553,3.25229159539192,0.493007716860905,"SCO"
"NN5527",1.9493851550754,1.9524339148438,2.36912248212277,3.3263799726295,3.25029140710244,4.27387122609021,3.31566547934686,3.26709471803763,0.460736397702518,"SCO"
"NN6693",1.85837622960015,1.87434504995935,2.35491760123216,3.28165741706641,3.22390940062994,4.27094667451857,3.23441184440234,3.30350369352601,0.417372655498244,"SCO"
"NN7911",1.75674665622689,1.75874278309612,2.41164661194415,3.37061239008603,3.39841540143642,4.26978725048106,3.26994805172517,3.21062916055343,0.521090119809238,"SCO"
"NN8369",1.88225320714117,1.8301892300844,2.39378071554281,3.34466621159504,3.26843359115992,4.26173052285904,3.22176764361615,3.22409952112015,0.448834443532359,"SCO"
"NN8664",1.86083102983467,1.93125591714048,2.42347523369407,3.36914936549183,3.36499507657784,4.26481967383388,3.21871784686934,3.25218972455897,0.484976845334669,"SCO"
"NO7495",1.74430319575379,1.72075431609689,2.37770824058697,3.16332093991674,3.20110342142855,4.26512606727051,3.19172622350771,3.25311955467122,0.43994246982163,"SCO"
"NS2366",1.66325656045617,1.70120471037588,2.40070690563579,2.96397646743977,2.94593495322146,4.27227615661033,3.10230577099318,3.2262578302997,0.460490585995273,"SCO"
"NS4085",1.70251979183823,1.73436702798571,2.38872397181077,3.25069593816404,3.26042295907112,4.26591982931149,3.26775323303289,3.15445574890309,0.505642195401399,"SCO"
"NS5873",1.83018802928617,1.85961476747272,2.46115191418472,2.97096399688353,2.96310503837345,4.27334647530075,3.08076175463279,3.11536970153613,0.404872006913477,"SCO"
"NS9052",1.68861483135401,1.74303699625424,2.4000624944214,3.37643738762946,3.34100686352765,4.2696022558811,3.21359588304964,3.2709060350438,0.456956578649457,"SCO"
"NT2023",1.89404308445038,1.9223829141462,2.3756349440856,2.93979401760465,2.95576595248074,4.26549157710007,3.20287679452665,3.30030056024894,0.448394929405887,"SCO"
"NT4470",1.70219748998955,1.71162709859049,2.41586098187919,2.82578460929523,2.97126139044784,4.27392568215611,3.20961034594312,3.31262433701626,0.427272183975015,"SCO"
"NT5824",1.92350838815071,1.93811614703268,2.45065115101557,3.25791822807072,3.32689171484403,4.26085655867329,2.78733592554803,2.76249803937716,0.480559890156741,"SCO"
"NX8392",1.83972725972655,1.79903689835228,2.38040549415731,3.16302683077475,3.12282738371754,4.26995349545787,3.31877386853517,3.32040653386182,0.438756470156533,"SCO"
"SE1582",1.5747626845531,1.58029045184958,2.36602271633131,3.37392924575496,3.34277474788995,4.2642192681947,3.1693241421715,3.2170536707068,0.447115474750554,"ENG"
"SE1845",1.71345956814012,1.71464287520256,2.08406830898084,3.28502991802098,3.27877798270758,4.26350615888029,3.11349611927392,3.19626977553226,0.4627289627172,"ENG"
"SE1867",1.86706004511027,1.84674597198814,2.33186084171578,3.28636347750009,3.28909045365707,4.27020694347989,3.23439792024138,3.14275411828618,0.48448707515868,"ENG"
"SE9023",1.6921724285939,1.68700173431895,2.18232131827584,3.16653616471566,3.29883430142104,4.26455838207825,3.26998154977439,3.23059563121842,0.47331123572827,"ENG"
"SH4072",1.8335879192243,1.82722120281432,2.43254043414661,3.42616121852866,3.32611641065513,4.26505760082008,3.36678453248112,3.32181368319378,0.459246850352623,"WAL"
"SH4866",1.68456158395851,1.66821883523474,2.30386982268303,3.38959342647905,3.35729691357967,4.26425611185216,3.27488040980723,3.22532437612241,0.392364285235409,"WAL"
"SH5924",1.76831076790787,1.7737154874917,2.36241710415613,3.3752917956632,3.38101947840598,4.26533396303524,2.82554823447212,2.88942742738037,0.491790612184453,"WAL"
"SH7038",1.71686903369845,1.71691980900686,2.32030310305667,3.1714161041484,3.11015561887099,4.26342363166862,3.14611653875478,3.17960980885205,0.491385647229653,"WAL"
"SH7148",1.88450208725881,1.85877744371535,2.29294071091204,3.39546026207844,3.36582583261213,4.25986466549484,3.16052456174293,3.24645658227118,0.438640552625447,"WAL"
"SH8170",1.65352891859363,1.64292001002628,2.26262288288055,3.17140297574063,3.22597544665132,4.27505698121825,3.24006802845932,3.24848660222999,0.461586585812404,"WAL"
"SH8207",1.79770963377329,1.77319923524675,2.37577439185625,3.25164860278538,3.29898054785746,4.26906976687099,3.05838170443793,3.05801369169011,0.470826327447655,"WAL"
"SK0484",1.769297063496,1.78643661476086,2.41067336424186,3.08601393373775,3.1531083332166,4.26393386064017,3.21857335039929,3.10322155818581,0.414805394486314,"ENG"
"SK1590",1.88067871215775,1.86093465541244,2.22714367418402,3.22222016773685,3.25505945827031,4.27058361992271,3.27184747810329,2.90742865706502,0.461059601951488,"ENG"
"SK2557",1.62320490545713,1.65766392294292,2.14644627769991,3.26530575178808,3.27777048649437,4.2651509218072,3.36365482284008,3.33637964546365,0.473104061843636,"ENG"
"SK4706",1.67061842227337,1.66525652155693,2.35748816853681,3.25633317026248,3.29632868791946,4.270756696723,1.96321167482075,1.99890612787031,0.372638302455522,"ENG"
"SK5480",1.71390257781069,1.68063143790252,2.24627480586052,3.31953335460129,3.31309841156056,4.26878426379078,3.2978914415386,3.31634136784177,0.463553950997953,"ENG"
"SK9826",1.79180531691704,1.76480851260939,2.20041120389639,3.12485922607991,3.08245442113401,4.27010286487736,3.028202238959,2.98151883618702,0.407310503679613,"ENG"
"SN0732",1.69837431816864,1.67710667924675,2.35049208422811,3.28112045540666,3.12080845632952,4.2707090039626,3.32198739740983,3.36294723648607,0.517453496328202,"WAL"
"SN6098",1.68818582879251,1.71966132845577,2.35275341968639,3.22187043986877,3.20266067291463,4.27239447948607,3.26090760818249,3.22123849768413,0.49100128433304,"WAL"
"SN6185",1.73114388189529,1.69979382021204,2.28957111849633,3.26367846117524,3.21169438447317,4.26674544220093,3.16564288281036,3.2368922809552,0.44865835729605,"WAL"
"SN6634",1.83457987928839,1.8434378962455,2.22497924451282,3.32505061970207,3.31264716814426,4.26930110111932,3.20852890821701,3.195453034079,0.4595909314832,"WAL"
"SN6777",1.7615941862995,1.7527798850104,2.30714683975292,3.28694924087538,3.24511519149618,4.2649969676209,2.90308188941796,2.9730205609579,0.440829534080248,"WAL"
"SN7659",1.52601499810732,1.55689647081097,2.31337561952438,3.40237993912415,3.36093928098188,4.26869682210641,3.36233316057856,3.30969949683886,0.478657485666383,"WAL"
"SO1474",1.83057228676652,1.84492511029889,2.28008591388507,3.44713798949862,3.40300550461138,4.26492508753589,3.08392063567012,3.0807652967681,0.457041565167938,"WAL"
"SO2568",1.57950064689064,1.64343359854964,2.21205556808812,3.31919373824462,3.3212091353144,4.27138283418418,3.43869024216305,3.42303159094731,0.433892823972388,"WAL"
"SO3129",1.68722867442519,1.7125999941092,2.32019824834647,3.10340179734051,3.11564604106541,4.25998291132586,3.19504380744397,3.14620570986037,0.452067550679796,"ENG"
"SO4718",1.71832408237423,1.73145454498702,2.33598132597074,3.16878465071785,3.21051565711488,4.26482876667786,3.40752904406211,3.36180695183462,0.415439709065906,"WAL"
"SO6087",1.78492780031352,1.76067196999037,2.10435310039362,3.39777120827595,3.38425216118472,4.26276524017513,3.24175564311472,3.26515871169227,0.430947154061866,"ENG"
"SO8911",1.76177095613294,1.72216789622214,2.04135544520873,3.28219095356136,3.26309105262986,4.2694500723804,2.92757589034088,3.01088993163483,0.50138033197172,"ENG"
"SP1430",1.87291124921737,1.84696533492395,2.07248387538282,3.29005909759905,3.25361000934466,4.27338227889644,3.0140408264613,3.03681088097267,0.369821569674377,"ENG"
"SP4951",1.8374397935246,1.8114873569579,2.39746493647594,3.33255037350633,3.27312652476827,4.26699275726952,3.27473854550111,3.23404313782181,0.349797780754618,"ENG"
"SP6302",1.52613003132295,1.52553768789883,2.34105368966612,3.25383996825669,3.18515145432692,4.26245175393503,3.22135209752491,3.22150714083927,0.441940060517899,"ENG"
"SS8395",1.71449679342979,1.69586914751095,2.32831643113245,3.23510639795441,3.18667938008353,4.2682199648211,3.32353828039777,3.23348368151506,0.495273018052737,"WAL"
"ST2636",1.72628151154467,1.71244091270756,2.25673567030212,3.32836981514576,3.37800944470973,4.26893633528419,3.28856248226103,3.32302064206623,0.416122648217548,"ENG"
"ST2983",1.88292383996865,1.86578659789159,2.40086198298018,3.10901687251178,3.03484922622934,4.26857489482946,3.07969903802569,3.20979007592261,0.467943912037735,"WAL"
"ST4543",1.47769420277487,1.48852717050653,2.25787154637897,3.39028853448756,3.27147793516213,4.26346073664346,2.73781884158011,2.50095509294582,0.464185252700383,"ENG"
"ST9351",1.69071436264634,1.66570751082636,2.26640316599308,3.3113534600917,3.34203639988817,4.27177934939592,3.31804568473508,3.26741371570834,0.378573939989691,"ENG"
"SU1466",1.78215481677922,1.72080959026325,2.0524961742386,3.4280270509906,3.39074042398218,4.26940855639602,3.30149756249213,3.26178138480462,0.405064575091157,"ENG"
"SU3986",1.75404179457924,1.71578571057557,2.18966191019091,3.12254907726758,3.23830363608767,4.26168319231908,3.22834544506137,3.21911462806601,0.387213245359828,"ENG"
"SU6679",1.65829629293352,1.64533437970851,2.35863546557115,3.2210640268863,3.1906175221353,4.26520360504833,3.06962195593791,3.04049169967938,0.39396568677945,"ENG"
"SU7800",1.69651014834083,1.66723584599412,2.26905162069795,3.24190109131696,3.25525758294121,4.27592162489769,3.4482653549672,3.3971114282141,0.369725632449635,"ENG"
"SX7048",1.86327429371306,1.85873385181923,2.31775247217714,3.34766351396291,3.35445297032646,4.2759259402225,3.16001009904997,3.11749512817854,0.460985399523596,"ENG"
"SX8144",1.72107825332864,1.68910855660309,2.20081669246636,3.45483006097082,3.47803819494738,4.26138586011082,2.84983692633104,2.95396447742567,0.363142448385428,"ENG"
"SY8586",1.88968591133275,1.86403721606793,2.24507355441761,3.29148753517275,3.29262456385571,4.26882712923257,3.27147369525313,3.27856313068177,0.408642775872634,"ENG"
"TG4403",1.78309552126101,1.80340174845781,2.34872573579193,3.29015204036667,3.28063261876966,4.26666755922808,3.31296490665038,3.20730392386154,0.433897086434352,"ENG"
"TL3266",1.74132957203253,1.74404269274728,2.31163308637732,3.27487816329656,3.26153924050805,4.26799533380059,3.15159696283148,3.11644239919636,0.463110658680716,"ENG"
"TM3949",1.78695334865534,1.80980028859097,2.3967057241733,3.29152423576728,3.23779572635516,4.26616127430248,3.20292518048358,3.16363069931338,0.370469756221021,"ENG"
"TQ1827",1.69553814663301,1.65954544793126,2.39522942469291,3.38126373102045,3.3586394941665,4.26147074523024,3.36205981764257,3.30325068709016,0.46912136931626,"ENG"
"TQ3110",1.806064885684,1.80675690578099,2.43346228721204,3.26633708991511,3.24397243124847,4.25986228735984,3.24237016986103,3.28079621196903,0.38234740896382,"ENG"
"TQ4450",1.83584578967514,1.84207276964278,2.3330507599232,3.37259104976555,3.40443013408562,4.2698056631013,3.19840815791155,3.14399922903199,0.454687416538636,"ENG"
"TQ8038",1.83431200228647,1.81390842544583,2.27162117662133,3.32646830230244,3.27477104814491,4.27396844073926,3.29441785855486,3.23076580508315,0.368124016008765,"ENG"
"TR0534",1.80799550593159,1.83101358809577,2.39328723830723,3.32961628372789,3.309317086911,4.263946883545,3.0317858936638,3.08007639058805,0.366189268900107,"ENG"
"TR3149",1.87365740159511,1.82307456085277,1.99138217654313,3.28426996981259,3.27027218512113,4.27353646659185,3.041414744524,3.01724420135136,0.435235611122366,"ENG"
