"sites","bb_IDM","bb_SPE","bb_GRO","hv_IDM","hv_SPE","hv_GRO","sb_IDM","sb_SPE","sb_GRO","region"
"NC0429",1.77466803769383,1.80068491800856,2.47734006935849,2.26525917976909,3.39108049022453,4.27088267582802,3.24077795630307,3.24788349796645,4.14214102352306,"SCO"
"NC2313",1.8363253218557,1.82259469201996,2.50662257395631,3.25936936597472,3.38148719502641,4.26793951570071,3.21379258634746,3.27197964237746,4.1468115001792,"SCO"
"NC5762",1.95917724968701,1.92349865969799,2.45909154132731,2.90462504786405,3.38690435876228,4.26523082207629,3.23592993916116,3.16199790284503,4.13600189908917,"SCO"
"NC7158",1.81682718887273,1.85654856049581,2.45848617894708,3.2051680752611,3.38475908262166,4.25584209675364,3.16403817078423,3.14637420138769,4.13447866686966,"SCO"
"NJ0327",1.72877722459725,1.76699819538576,2.46112779205449,2.99170028267175,2.94768062627493,4.25778185365278,3.27924086570992,3.27776994555685,4.14420515050154,"SCO"
"NJ6415",1.64101148362882,1.69910911878984,2.3885537638872,3.33038023328829,3.19496453838614,4.25367275341946,3.32176279745236,3.15965366544359,4.14704898688188,"SCO"
"NJ7638",1.75453757536333,1.68958412633279,2.41248208810833,3.22607521922605,3.25392062341161,4.25453251941112,3.33939195785788,3.2536592881619,4.14038407194511,"SCO"
"NN5527",1.89374119920014,1.93054973509082,2.44954925438861,3.06659109317412,3.30019359264353,4.26266240387404,3.33559882386779,3.18410525462994,4.13948889205914,"SCO"
"NN6693",1.91503861068274,1.88518987699156,2.40117902616252,2.94341865877522,3.24326662876686,4.2645992533223,3.3464539268145,3.25747814419308,4.14585312809817,"SCO"
"NN7911",1.72583725234817,1.7981531881861,2.48379246308763,3.22565680525568,3.36503900289005,4.26496434543356,3.29516641960372,3.15850780207006,4.14611123196973,"SCO"
"NN8369",1.83370575573744,1.77475912056856,2.44983127806888,3.18342333824461,3.2161220381999,4.24975941856415,3.22195974816574,3.22803634159207,4.14330551569789,"SCO"
"NN8664",1.77675206891496,1.90973774549943,2.45530184365663,3.29458147122797,3.35193294292719,4.26189797918553,3.267805837375,3.32880269115579,4.1360687656571,"SCO"
"NO7495",1.71589591170673,1.69410906073937,2.4484401636651,3.22709334641332,3.14014459323676,4.26459273302094,3.2308728062789,3.23163207233805,4.1422625251346,"SCO"
"NS2366",1.66039001309194,1.69303043754027,2.46427064452936,3.00039943297409,3.08655991838088,4.26351276896284,3.25394463935932,3.22845886197812,4.13924107683516,"SCO"
"NS4085",1.73071575696856,1.71681057997648,2.48322882154044,3.12211210420812,3.20416289441303,4.26624575140743,3.27897584307627,3.20754261196347,4.13658452001037,"SCO"
"NS5873",1.82357329026047,1.85146968905694,2.48178856593755,0.0471607262163867,2.99685305814224,4.26350590677723,3.18633122351731,3.15586150578346,4.14304762857131,"SCO"
"NS9052",1.6313087002089,1.72961632641857,2.45569012982159,3.15943753000109,3.38603797132988,4.2683684488349,3.24422015319318,3.22862049626876,4.1417076219981,"SCO"
"NT2023",1.92739494885754,1.94177370628634,2.46059514688867,3.07347446398713,2.94413350232973,4.27059374596403,3.2538861073176,3.25103809407639,4.13832317920824,"SCO"
"NT4470",1.68129520962052,1.70807539143101,2.47946800856036,2.87806207364163,2.93519746319044,4.2520781692402,3.29968251944141,3.25779601313129,4.14206690658654,"SCO"
"NT5824",1.8614736009016,1.93452276391584,2.4998041785814,3.23732588489026,3.30543851934487,4.26885739381619,2.68538991293779,2.7819498454211,4.13305543164495,"SCO"
"NX8392",1.83369391543366,1.83076510648299,2.4762327177539,3.17398972060844,3.20400145823667,4.26968991743941,3.23960329775626,3.14417520220976,4.14465036724643,"SCO"
"SE1582",1.58232955732262,1.58889237075537,2.43544358071348,3.29133782756229,3.3021278270651,4.26278989519345,3.24311383140797,3.15976723412742,4.1444142502196,"ENG"
"SE1845",1.85224180177563,1.71649429441549,2.28585847244225,3.20959295876884,3.29703208203867,4.26568071532267,3.26976363507844,3.19341122199542,4.13162994125878,"ENG"
"SE1867",1.80314467530089,1.86963498359672,2.43489489941807,3.10345606670584,3.33233255440027,4.26691304373098,3.20538526890619,3.2919713939057,4.13622242473289,"ENG"
"SE9023",1.79908977446397,1.70420086737496,2.35345842215907,3.29228340453562,3.25440756937147,4.26067883710247,3.22179927780913,3.26305432815659,4.12972503698918,"ENG"
"SH4072",1.86102262361718,1.83953924139023,2.49927984298196,3.0666488874233,3.35814165842131,4.2515070425084,3.30431074494761,3.28465820367206,4.14614200475518,"WAL"
"SH4866",1.7699280872335,1.66815833725273,2.41007608140821,3.35019053532807,3.35242129112316,4.25756892606608,3.33044317814095,3.28777567681429,4.13851098122672,"WAL"
"SH5924",1.79163256040254,1.77616373639959,2.42109769925008,3.19702788684847,3.39875186097594,4.26423409104472,2.71484558646492,2.9885053299486,4.1471346494623,"WAL"
"SH7038",1.76601439212562,1.67650245609368,2.41673874787074,3.0826576909067,3.19291451742215,4.26168182210049,3.23481786953075,3.2284424383523,4.14538534295947,"WAL"
"SH7148",1.92150311115974,1.86987714125783,2.39535581571233,3.24694940653124,3.4001056962911,4.27216348318605,3.24814881035224,3.19882111673949,4.14361241611294,"WAL"
